RS,celltype
1.4408381,T cell
0.955444,T cell
1.8359935,B cell
2.1391785,T cell
0.96122473,B cell
1.0610254,T cell
1.4893874,T cell
1.06429,T cell
0.762452,B cell
1.1536891,T cell
1.0438479,T cell
0.7781869,B cell
1.0583936,T cell
1.0481925,pDC
1.0962814,T cell
1.4383268,Plasma cell
1.883065,B cell
1.3903762,NK cell
0.98069066,B cell
0.94898254,T cell
1.5802038,Plasma cell
0.9479959,T cell
1.6860241,B cell
1.6516825,Dendritic cell
1.2654996,Plasma cell
1.1139054,pDC
0.8801299,B cell
1.7571259,NK cell
0.92821556,B cell
1.0898244,T cell
1.8836406,Dendritic cell
1.4389181,T cell
5.7084646,B cell
1.3486016,T cell
1.2211707,T cell
1.7270548,T cell
1.3221939,T cell
1.4207072,T cell
1.4253017,T cell
1.386213,T cell
0.9760979,Dendritic cell
1.0610074,T cell
1.2034056,Dendritic cell
2.0438874,T cell
1.4852886,T cell
1.0504078,B cell
1.3273886,T cell
0.745434,B cell
1.1371206,B cell
1.3377002,B cell
1.6888336,B cell
1.3974769,Plasma cell
1.3313287,T cell
0.6817881,B cell
1.4446766,T cell
1.3036623,B cell
1.1513392,T cell
1.6834767,T cell
1.1045816,T cell
1.0940288,T cell
1.3632098,B cell
1.6235256,B cell
0.7728232,B cell
1.2177305,Plasma cell
1.2364055,NK cell
1.9212343,B cell
1.6970387,Dendritic cell
1.3502766,T cell
0.8722353,B cell
1.12375,T cell
1.4288409,T cell
1.1880834,pDC
1.0605617,T cell
0.6343611,B cell
1.7785201,NK cell
2.0640469,T cell
1.2447505,B cell
1.0997318,T cell
1.5055739,Macrophage
0.91592103,B cell
1.1613053,T cell
1.2226338,Macrophage
1.3240871,Plasma cell
1.1337686,B cell
2.0376885,Macrophage
2.042066,T cell
0.8335177,B cell
3.8622048,Plasma cell
1.4297487,B cell
1.8556926,Macrophage
1.1111434,T cell
1.2254882,Plasma cell
1.7538863,NK cell
1.4387767,Macrophage
0.91350716,T cell
1.0803301,T cell
1.0619881,Macrophage
1.0242904,Plasma cell
1.6578945,T cell
1.2989966,T cell
1.8447361,T cell
1.9335552,B cell
1.4221752,T cell
1.0087914,T cell
1.201007,T cell
1.1745998,Macrophage
2.374734,T cell
1.4692894,T cell
1.485617,T cell
1.2835251,T cell
1.6556157,B cell
0.7180457,B cell
1.6995888,B cell
1.3979472,T cell
0.73714036,B cell
1.0117261,pDC
1.4314924,NK cell
0.6558292,B cell
2.009078,Macrophage
1.0708743,Plasma cell
1.1048253,Plasma cell
1.5154012,B cell
1.4879167,T cell
1.5843968,B cell
1.3931473,T cell
2.2273412,Macrophage
1.1058894,Plasma cell
1.122254,pDC
1.3986665,T cell
1.127798,B cell
1.5716848,B cell
0.81139255,Plasma cell
1.7154849,pDC
1.4440808,Macrophage
2.138082,NK cell
1.4157473,B cell
0.7672963,B cell
2.216836,T cell
1.5441753,T cell
1.4901483,T cell
1.1494141,T cell
1.0517613,B cell
0.96769,T cell
0.84190494,T cell
2.075702,T cell
1.2835357,T cell
1.0263855,T cell
1.3660549,T cell
2.2033608,B cell
1.789784,T cell
0.96385753,T cell
1.5813082,B cell
1.211828,Plasma cell
1.5000147,NK cell
1.5128562,B cell
1.6805406,NK cell
1.5387566,B cell
1.6869469,T cell
0.8786596,B cell
1.5669618,T cell
0.96347,Dendritic cell
1.8457309,Macrophage
1.2239262,T cell
1.7703588,T cell
0.8777979,T cell
1.1830792,T cell
1.3466136,T cell
1.1573629,T cell
1.5854592,T cell
1.0020522,B cell
1.4086754,B cell
0.73756915,B cell
1.1187428,B cell
0.72452104,B cell
1.1223848,pDC
2.2798946,NK cell
1.2822464,T cell
1.2129006,T cell
1.0998268,T cell
1.4677572,T cell
1.6938391,B cell
1.115236,T cell
1.6696225,Macrophage
1.396351,Dendritic cell
1.34134,T cell
0.9581308,B cell
0.8641751,B cell
0.83789414,B cell
1.3744899,T cell
1.5133133,B cell
2.0102808,T cell
1.2001928,T cell
1.6752156,B cell
1.1824507,Plasma cell
0.9250391,T cell
1.269343,T cell
1.6134957,B cell
1.3422493,NK cell
1.4453517,Dendritic cell
1.3342601,T cell
1.1060972,T cell
0.8272124,B cell
1.3502682,B cell
1.1530392,pDC
0.93715245,T cell
0.6954401,B cell
2.0937521,B cell
1.8147452,Plasma cell
1.1535281,T cell
1.2258042,T cell
1.9082319,T cell
1.4369059,B cell
1.1043458,T cell
1.0904814,T cell
1.2806152,B cell
1.6497475,B cell
1.0028485,T cell
1.6614374,B cell
1.2459847,T cell
0.8813325,T cell
1.0234154,T cell
1.1618859,T cell
2.0335736,Plasma cell
