NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch,method
1.0,0.6666666666666666,0.10520932023294338,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.09513387477431336,0.0,gamma,0,smartseq2,Harmony
1.0,0.16666666666666666,0.13988611796669703,0.0,gamma,0,smartseq2,Harmony
1.0,0.16666666666666666,0.2020978116234866,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.08946700149437584,0.0,gamma,0,smartseq2,Harmony
1.0,0.8,0.11071220724492788,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.10606469569440241,0.0,gamma,0,smartseq2,Harmony
1.0,0.7333333333333333,0.08832350057190921,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.0984346945607382,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.06306550422886446,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.11631451831170674,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.12140185204886798,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.0737089787299359,0.0,gamma,0,smartseq2,Harmony
0.9565217391304348,0.23333333333333334,0.1320881605098333,0.005742963500427531,gamma,0,smartseq2,Harmony
1.0,0.5,0.14358243701569612,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.12209472704948267,0.0,gamma,0,smartseq2,Harmony
1.0,0.13333333333333333,0.1987726062345314,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.10752577545437243,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.11891318217851755,0.0,gamma,0,smartseq2,Harmony
