celltype,post_cnem,cnem_delta,method
acinar,0.16508913040161133,0.0017386674880981445,Harmony
acinar,0.22624647617340088,0.0662652850151062,Harmony
acinar,0.1790764331817627,0.02113884687423706,Harmony
acinar,0.1654754877090454,0.019520342350006104,Harmony
acinar,0.23807746171951294,0.019708335399627686,Harmony
acinar,0.159873366355896,-0.0018384456634521484,Harmony
acinar,0.19888728857040405,0.03385406732559204,Harmony
acinar,0.15042924880981445,0.007676661014556885,Harmony
acinar,0.17262965440750122,0.014018535614013672,Harmony
acinar,0.17111939191818237,0.03318893909454346,Harmony
acinar,0.3001185655593872,0.08968502283096313,Harmony
acinar,0.17700231075286865,0.0008516311645507812,Harmony
acinar,0.14095371961593628,0.04154372215270996,Harmony
acinar,0.1777293086051941,0.011784017086029053,Harmony
acinar,0.18390244245529175,0.013245940208435059,Harmony
acinar,0.14707136154174805,0.02721560001373291,Harmony
acinar,0.22461754083633423,0.01603299379348755,Harmony
acinar,0.14992356300354004,0.007190406322479248,Harmony
acinar,0.1183059811592102,-0.007633209228515625,Harmony
acinar,0.20590972900390625,0.016439199447631836,Harmony
acinar,0.15554755926132202,0.00958925485610962,Harmony
acinar,0.19301974773406982,0.020214438438415527,Harmony
acinar,0.16179466247558594,-0.002861201763153076,Harmony
acinar,0.17488938570022583,0.03681540489196777,Harmony
acinar,0.10618597269058228,-0.00041288137435913086,Harmony
acinar,0.15548616647720337,0.0210455060005188,Harmony
acinar,0.15008115768432617,0.0170404314994812,Harmony
acinar,0.12391799688339233,0.015435755252838135,Harmony
acinar,0.2015509009361267,0.04365968704223633,Harmony
acinar,0.18413126468658447,0.0220106840133667,Harmony
acinar,0.134557843208313,0.03131449222564697,Harmony
acinar,0.14868175983428955,0.0359765887260437,Harmony
acinar,0.20214742422103882,0.02194344997406006,Harmony
acinar,0.14982616901397705,0.02021843194961548,Harmony
acinar,0.15364861488342285,0.013729214668273926,Harmony
acinar,0.15947598218917847,0.013613641262054443,Harmony
acinar,0.15546220541000366,0.040080726146698,Harmony
acinar,0.15803509950637817,0.023814678192138672,Harmony
acinar,0.2758111357688904,0.04411149024963379,Harmony
acinar,0.22733432054519653,0.01998060941696167,Harmony
acinar,0.28369003534317017,0.0493466854095459,Harmony
acinar,0.24657279253005981,0.008252084255218506,Harmony
acinar,0.23071187734603882,0.029116153717041016,Harmony
acinar,0.24759441614151,0.014487981796264648,Harmony
acinar,0.1895812749862671,0.028148651123046875,Harmony
acinar,0.2138727307319641,0.011774659156799316,Harmony
acinar,0.16994726657867432,0.0063211917877197266,Harmony
acinar,0.27285653352737427,0.05511343479156494,Harmony
acinar,0.21755492687225342,0.019832611083984375,Harmony
acinar,0.19753944873809814,0.02903902530670166,Harmony
acinar,0.2860831022262573,0.025396227836608887,Harmony
acinar,0.19784575700759888,0.038204729557037354,Harmony
acinar,0.1880834698677063,0.056636035442352295,Harmony
acinar,0.16449743509292603,0.01828104257583618,Harmony
acinar,0.20852351188659668,0.016403555870056152,Harmony
acinar,0.15350568294525146,0.01483219861984253,Harmony
acinar,0.1951044797897339,0.023570656776428223,Harmony
acinar,0.17533516883850098,0.04369693994522095,Harmony
acinar,0.13902783393859863,0.005189836025238037,Harmony
acinar,0.22763806581497192,0.03685277700424194,Harmony
acinar,0.16352951526641846,0.023817002773284912,Harmony
acinar,0.19390124082565308,0.026748239994049072,Harmony
acinar,0.21884405612945557,0.03140610456466675,Harmony
acinar,0.17045462131500244,0.02736610174179077,Harmony
acinar,0.1996774673461914,0.045406997203826904,Harmony
acinar,0.21220195293426514,0.022232115268707275,Harmony
acinar,0.19483625888824463,0.015943706035614014,Harmony
acinar,0.1585339903831482,0.01284855604171753,Harmony
acinar,0.3223150968551636,0.055287182331085205,Harmony
acinar,0.24823695421218872,0.016783535480499268,Harmony
acinar,0.30587273836135864,0.032218754291534424,Harmony
acinar,0.2542693018913269,-2.396106719970703e-05,Harmony
acinar,0.3440525531768799,-0.0039299726486206055,Harmony
acinar,0.23650497198104858,0.03230178356170654,Harmony
acinar,0.21933704614639282,0.04314720630645752,Harmony
acinar,0.20838016271591187,0.03483009338378906,Harmony
acinar,0.23104417324066162,0.031735360622406006,Harmony
acinar,0.3000867962837219,0.01977485418319702,Harmony
